District Name,Name,Address,Contact Number,
,,,,
Bhopal,,,,
,SAMADHAN AYURVEDIC AND PANCHKARMA CHIKITSALAYA ( DR. ANIL GUPTA AND DR. SADHNA GUPTA ),"Roxy Pul, near Kartar Hotel",098273 55759,
,Jiva Ayurveda Clinic - Gwalior,"Bajrang Plaza, Plot no 302 First Floor, Sachin Tendulkar Rd, near BSNL",093114 01963,
,DR. K L SHARMA,"591 Army Bazariya, Tota Ki Bazariya, Near Command 2nd Batalian, Lashkar",096441 92896,
,Amrutam Ayurvedic Clinic,"346, Phase, 1, near Bisoniya Hospital",090391 23200,
,"Jiva Ayurveda Clinic - Agra, Uttar Pradesh (Best Ayurvedic Doctor in Agra | Ayurvedic Hospital in Agra)","Friends Wasan Plaza B- 8, 9 &10, E-17, 2/4, Hariparwat Rd, behind Hotel Marina",070601 60052,
,Ayurveda and Panchkarma Brahma Ayurvedam Clinic by MD Dr Jitendra Sharma (Bhopal),"HIG 141, Ground Floor, Ayodhya Bypass Rd, near Sagar Avenue",062324 33355,
,Shuddhi Hiims (Bhopal) Ayurveda Clinic,"Metro Plaza, Shop No. F-5, 1st Floor, Bittan Market Duserah Maidan",087920 87920,
,"Jiva Ayurvedic Clinic - Bhopal, Madhya Pradesh (Ayurvedic Doctor in Bhopal | Ayurvedic Hospital in Bhopal | Ayurvedic Clinic)","E-8/1, Near Savoy Complex in front of UCO Bank Gulmohar Colony",070241 45671,
,🅽🅰🅼🅾🅷 🅲🅻🅸🅽🅸🅲: Best Sexologist In Bhopal| Best ayurvedic doctor in Bhopal| Sex Specialist Doctor| best sexologist near me|,"3114, Surendra Landmark, NAMOH AYURVEDA, C Block, Narmadapuram Rd, near Ashima Mall",077709 92222,
,Ayurved hospital sidhi,Sidhi मध्य प्रदेश 486661 Republic of,,
,VAIDYAM Kerala Ayurveda Panchkarma Clinic & Weight Loss | Best Ayurveda doctor in Bhopal,"22, New MLA Colony",0755 422 4044,
,"Jiva Ayurveda Clinic - Gomtinagar, Lucknow (Ayurvedic Doctor in Lucknow | Ayurvedic Hospital in Lucknow | Ayurvedic Clinic )","LGF, 3/17,Below Shaadi.Com Office, Vinay Khand Station Road, near Patrakarpuram Chauraha",070544 47778,
,District Ayurved Hospital,"WH4R+GQ6, Mahal to Police Line Rd",,
,Incredible Ayurveda,A-6,099070 01192,
,"Jiva Ayurveda Clinic - Varanasi, Uttar Pradesh (Ayurvedic Doctor in Varanasi | Ayurvedic Hospital in Varanasi)","Jas Maa Complex, 58/12, Gandhi Nagar Opposite Tata Motor, Main Road, near Ksheer Sagar Sweet Shop",093117 66821,
,"Jiva Ayurveda Clinic - Gorakhpur, Uttar Pradesh (Best Ayurvedic Doctor in Gorakhpur)","JP Complex, Medical College Road, near Passport Office",077558 27779,
,AyurYug Multispeciality Ayurveda & Panchakarma | Best Ayurvedic Doctor In Bhopal | Panchakarma In Bhopal | Ayurvedic Clinic |,"107, DK-1, Danish Kunj Kolar Rd, near Jain Mandir",091310 19197,
,"Tirupati Ayurveda - Best Panchkarma Treatment, Piles care, Piles & Fistula Clinic In Bhopal","16, Amrit Enclave",093407 15176,
,Bhopal Ayurvedic Surgical Center (Anorectal Clinic) By Dr M P Patel IMS BHU (Piles Fistula Fissure pilonidal Sinus Kshar Sutra Treatment Center),"22A, Chunabhatti Kolar Rd, behind Hyundai Showroom",098932 08180,
,"Jiva Ayurveda Clinic & Panchakarma Centre - Alambagh, Lucknow (Ayurvedic Doctor in Lucknow | Ayurvedic Clinic )","Space No UGF-01, Shri Pratap Tower Sector B LDA Colony Behind Phoenix Mall, Kanpur - Lucknow Rd",093117 66831,
,Dakshayu Ayurvedic Clinic,A-134,,
,Government Ayurvedic College & Hospital,55Q7+54M,0751 237 2802,
,Dr. Aditya Nema (Ano-Rectal Specialist_Proctologist),Pt. Khushilal Sharma Ayurvedic Collage and Hospital,,
,Dharma Ayurveda Clinic,"Shop no. 1, Mahendra Medi Square",096444 65777,
,Dr. Monika Jain (Vaidyam Ayurveda Kerala Panchkarma),"23, Bhadbhada Rd",0755 422 4044,
,"Jiva Ayurveda Clinic - Aliganj Lucknow, Uttar Pradesh (Ayurvedic Doctor in Lucknow | Ayurvedic Clinic )","LGF1, Ramanand Trade Centre, 34A, Kapoorthala Road, near Spencer",091983 34888,
,"Jiva Ayurveda Clinic - Mall Road, Kanpur","Building No: 18/53, 1st Floor Mall Road Pholbagh Chauraha, near Gaurav Hotel",093117 66830,
,KERALA AYURVEDIC & ADVANCED PHYSIOTHERAPY CENTRE,98,098930 02893,
,Ayurvedic Clinic,"Church Gate, near Sepal Convent School",098939 91010,
,Mrityunjay Ayurved - Best Ayurvedic Doctor | Spine Specialist in Bhopal,440,,
,Siddha Sanjeevani Ayurvedam - Ayurvedic Hospital in Bhopal,"206/2A, 200/2C",098276 86579,
,"Vaidh Tribhuvandas Uddavdas Mehta ,Dr. Deepak Mehta ayurvedic clinic","Chowk Bazaar Road, 41, Mehta Marg",,
